Machine,Part Number,Loading Start,Processing Start,End Time,Processing Time
Bay3_Machine_3,01 10 125 110 08 90 12_Batch_1,2978.3333333333335,2988.3333333333335,3080.0,91.66666666666667
Bay2_Machine_1,MB8240-7300-FIN_Batch_39,2990.0,3000.0,3170.0,170.0
Bay2_Machine_2,MB8240-7300-FIN_Batch_40,3013.3333333333335,3023.3333333333335,3193.3333333333335,170.0
Bay3_Machine_1,01 10 125 110 08 90 12_Batch_2,3025.0,3035.0,3126.6666666666665,91.66666666666667
Bay2_Machine_3,MB8240-7300-FIN_Batch_41,3036.6666666666665,3046.6666666666665,3216.6666666666665,170.0
Bay2_Machine_4,MB8240-7300-FIN_Batch_42,3046.6666666666665,3056.6666666666665,3226.6666666666665,170.0
Bay3_Machine_2,01 10 125 110 08 90 12_Batch_3,3056.6666666666665,3066.6666666666665,3158.3333333333335,91.66666666666667
Bay2_Machine_5,MB8240-7300-FIN_Batch_43,3066.6666666666665,3076.6666666666665,3246.6666666666665,170.0
Bay3_Machine_3,01 10 125 110 08 90 12_Batch_4,3080.0,3090.0,3181.6666666666665,91.66666666666667
Bay3_Machine_1,01 10 125 110 08 90 12_Batch_5,3126.6666666666665,3136.6666666666665,3228.3333333333335,91.66666666666667
Bay3_Machine_2,01 10 125 110 08 90 12_Batch_6,3158.3333333333335,3168.3333333333335,3260.0,91.66666666666667
Bay2_Machine_1,MB8240-7300-FIN_Batch_44,3170.0,3180.0,3350.0,170.0
Bay3_Machine_3,01 10 125 110 08 90 12_Batch_7,3181.6666666666665,3191.6666666666665,3283.3333333333335,91.66666666666667
Bay2_Machine_2,MB8240-7300-FIN_Batch_45,3193.3333333333335,3203.3333333333335,3373.3333333333335,170.0
Bay2_Machine_3,MB8240-7300-FIN_Batch_46,3216.6666666666665,3226.6666666666665,3396.6666666666665,170.0
Bay2_Machine_4,MB8240-7300-FIN_Batch_47,3226.6666666666665,3236.6666666666665,3406.6666666666665,170.0
